fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
7.4,0.5306282510621704,0.0,1.0647107369924282,0.07325046173959267,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.56,9.4,5,red
7.8,0.6312717768418579,0.0,1.2809338454620642,0.09349034308733889,3.258096538021482,4.219507705176107,0.9968,3.2,0.68,9.8,5,red
7.8,0.5653138090500605,0.04,1.1939224684724346,0.0880108773227133,2.772588722239781,4.007333185232471,0.997,3.26,0.65,9.8,5,red
11.2,0.2468600779315258,0.56,1.0647107369924282,0.07232066157962612,2.8903717578961645,4.110873864173311,0.998,3.16,0.58,9.8,6,red
7.4,0.5306282510621704,0.0,1.0647107369924282,0.07325046173959267,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.56,9.4,5,red
7.4,0.5068176023684519,0.0,1.0296194171811583,0.07232066157962612,2.6390573296152584,3.713572066704308,0.9978,3.51,0.56,9.4,5,red
7.9,0.4700036292457355,0.06,0.9555114450274363,0.06672363204290818,2.772588722239781,4.0943445622221,0.9964,3.3,0.46,9.4,5,red
7.3,0.5007752879124893,0.0,0.7884573603642702,0.06297479916138844,2.772588722239781,3.091042453358316,0.9946,3.39,0.47,10.0,7,red
7.8,0.4574248470388754,0.02,1.0986122886681098,0.07045846364856141,2.302585092994046,2.9444389791664403,0.9968,3.36,0.57,9.5,7,red
7.5,0.4054651081081644,0.36,1.9600947840472698,0.06859279146561172,2.8903717578961645,4.634728988229636,0.9978,3.35,0.8,10.5,5,red
6.7,0.4574248470388754,0.08,1.0296194171811583,0.0925791812930932,2.772588722239781,4.189654742026425,0.9959,3.28,0.54,9.2,5,red
7.5,0.4054651081081644,0.36,1.9600947840472698,0.06859279146561172,2.8903717578961645,4.634728988229636,0.9978,3.35,0.8,10.5,5,red
5.6,0.47933495667461984,0.0,0.9555114450274363,0.08525984395082342,2.833213344056216,4.0943445622221,0.9943,3.58,0.52,9.9,5,red
7.8,0.4762341789963716,0.29,0.9555114450274363,0.10795714150509228,2.302585092994046,3.4011973816621555,0.9974,3.26,1.56,9.1,5,red
8.9,0.4824261492442927,0.18,1.5686159179138452,0.16211884947643518,3.970291913552122,4.983606621708336,0.9986,3.16,0.88,9.2,5,red
8.9,0.4824261492442927,0.19,1.589235205116581,0.15700374880966475,3.9512437185814275,5.003946305945459,0.9986,3.17,0.93,9.2,5,red
8.5,0.2468600779315258,0.56,1.0296194171811583,0.0880108773227133,3.58351893845611,4.6443908991413725,0.9969,3.3,0.75,10.5,7,red
8.1,0.44468582126144574,0.28,0.9932517730102833,0.3133498192003587,2.833213344056216,4.04305126783455,0.9968,3.11,1.28,9.3,5,red
7.4,0.4637340162321401,0.08,1.6863989535702288,0.08250122151174369,1.9459101490553132,3.4011973816621555,0.9974,3.38,0.5,9.0,4,red
7.9,0.2776317365982795,0.51,1.0296194171811583,0.2934156042995415,2.8903717578961645,4.04305126783455,0.9969,3.04,1.08,9.2,6,red
8.9,0.1988508587451652,0.48,1.0296194171811583,0.07417939817425151,3.4011973816621555,4.110873864173311,0.9968,3.39,0.53,9.4,6,red
7.6,0.3293037471426004,0.31,1.1939224684724346,0.07881118042428978,3.1780538303479458,4.276666119016055,0.9982,3.52,0.65,9.7,5,red
7.9,0.3576744442718159,0.21,0.9555114450274363,0.10074990310014305,2.3978952727983707,3.6375861597263857,0.9966,3.17,0.91,9.5,5,red
8.5,0.3987761199573678,0.11,1.1939224684724346,0.08065790301745447,2.302585092994046,4.219507705176107,0.9968,3.17,0.53,9.4,5,red
6.9,0.33647223662121295,0.14,1.2237754316221157,0.08157998699242287,3.091042453358316,3.713572066704308,0.9968,3.43,0.63,9.7,6,red
6.3,0.3293037471426004,0.16,0.8754687373538999,0.07696104113612832,2.4849066497880004,3.1780538303479458,0.9955,3.34,0.56,9.3,5,red
7.6,0.3435897043900769,0.24,1.0296194171811583,0.07696104113612832,1.6094379124341003,2.4849066497880004,0.9962,3.28,0.59,9.5,5,red
7.9,0.3576744442718159,0.21,0.9555114450274363,0.10074990310014305,2.3978952727983707,3.6375861597263857,0.9966,3.17,0.91,9.5,5,red
7.1,0.5364933705145685,0.0,1.0647107369924282,0.07696104113612832,2.70805020110221,3.58351893845611,0.9972,3.47,0.55,9.4,5,red
7.8,0.49774038421733524,0.0,1.0986122886681098,0.07881118042428978,2.1972245773362196,2.833213344056216,0.9964,3.38,0.59,9.8,6,red
6.7,0.5158131652770298,0.07,1.2237754316221157,0.08525984395082342,2.8903717578961645,4.418840607796598,0.9958,3.35,0.54,10.1,5,red
6.9,0.521765563804325,0.0,1.252762968495368,0.09984533496971613,3.1354942159291497,3.6375861597263857,0.9966,3.46,0.57,10.6,6,red
8.3,0.5038010088290262,0.12,1.1939224684724346,0.07973496801885356,2.772588722239781,4.736198448394496,0.9966,3.17,0.66,9.8,5,red
6.9,0.4731237565819792,0.12,2.4595888418037104,0.07045846364856141,3.713572066704308,4.430816798843313,0.9993,3.45,0.52,9.4,6,red
5.2,0.2776317365982795,0.25,1.0296194171811583,0.09803374027136541,2.6390573296152584,3.9318256327243257,0.9957,3.38,0.55,9.2,5,red
7.8,0.49774038421733524,0.0,1.8718021769015913,0.08250122151174369,1.791759469228055,2.9444389791664403,0.9986,3.4,0.55,9.6,6,red
7.8,0.4700036292457355,0.14,1.2237754316221157,0.08250122151174369,1.3862943611198906,2.772588722239781,0.9975,3.42,0.6,10.8,6,red
8.1,0.32208349916911333,0.28,1.1314021114911006,0.0639133257436528,2.6390573296152584,3.4339872044851463,0.9968,3.23,0.73,9.7,7,red
5.7,0.7561219797213337,0.09,0.9162907318741551,0.15871169115482087,2.0794415416798357,2.995732273553991,0.994,3.5,0.48,9.8,4,red
7.3,0.37156355643248307,0.36,1.9315214116032138,0.07138999608667294,2.5649493574615367,4.477336814478207,0.9978,3.33,0.83,10.5,5,red
7.3,0.37156355643248307,0.36,1.9315214116032138,0.07138999608667294,2.5649493574615367,4.477336814478207,0.9978,3.33,0.83,10.5,5,red
8.8,0.4762341789963716,0.3,1.33500106673234,0.08434114843375087,2.8903717578961645,3.8501476017100584,0.9976,3.26,0.51,9.3,4,red
7.5,0.3987761199573678,0.2,1.2809338454620642,0.2866815721181974,2.1972245773362196,2.70805020110221,0.9968,3.21,0.9,10.5,6,red
8.1,0.5068176023684519,0.22,1.1631508098056809,0.06672363204290818,2.302585092994046,3.1780538303479458,0.9968,3.3,1.2,10.3,5,red
6.8,0.5128236264286637,0.02,1.0296194171811583,0.04879016416943201,1.791759469228055,2.4849066497880004,0.9962,3.48,0.52,9.5,5,red
4.6,0.41871033485818504,0.15,1.1314021114911006,0.05259245011917058,2.1972245773362196,4.189654742026425,0.9934,3.9,0.56,13.1,4,red
7.7,0.6601073264817452,0.43,1.1631508098056809,0.10795714150509228,3.1354942159291497,4.74493212836325,0.997,3.25,0.73,9.2,5,red
8.7,0.25464221837358075,0.52,0.9555114450274363,0.10705907229340778,2.5649493574615367,3.6375861597263857,0.9969,3.25,0.58,9.5,5,red
6.4,0.33647223662121295,0.23,0.9555114450274363,0.0639133257436528,1.791759469228055,2.5649493574615367,0.9958,3.34,0.56,9.2,5,red
5.6,0.27002713721306015,0.37,0.8754687373538999,0.07138999608667294,2.5649493574615367,4.574710978503383,0.9954,3.32,0.58,9.2,5,red
8.8,0.5068176023684519,0.26,0.9932517730102833,0.07138999608667294,1.6094379124341003,3.1780538303479458,0.9971,3.15,0.74,9.2,5,red
6.6,0.41871033485818504,0.04,1.1631508098056809,0.06672363204290818,2.1972245773362196,2.772588722239781,0.9956,3.4,0.63,9.4,6,red
6.6,0.4054651081081644,0.04,1.1314021114911006,0.0657877405380031,1.9459101490553132,2.70805020110221,0.9955,3.39,0.64,9.4,6,red
8.6,0.32208349916911333,0.36,1.3862943611198906,0.07788653865707122,3.4339872044851463,4.787491742782046,0.997,3.2,0.56,9.4,5,red
7.6,0.412109650826833,0.15,1.33500106673234,0.10436001532424277,3.5263605246161616,4.30406509320417,0.9955,3.17,0.63,10.2,6,red
7.7,0.4824261492442927,0.04,1.5686159179138452,0.08065790301745447,3.258096538021482,3.828641396489095,0.9978,3.34,0.53,9.5,5,red
10.2,0.35065687161316933,0.57,1.4816045409242156,0.06765864847381481,1.6094379124341003,2.3978952727983707,0.9971,3.04,0.63,9.6,5,red
7.5,0.48858001481867097,0.12,1.8082887711792655,0.10526051065749295,3.9318256327243257,4.709530201312334,0.9983,3.26,0.77,9.4,5,red
7.8,0.4637340162321401,0.18,1.1939224684724346,0.07325046173959267,2.8903717578961645,4.007333185232471,0.9975,3.43,0.59,10.0,5,red
7.3,0.3293037471426004,0.31,1.2237754316221157,0.07138999608667294,2.302585092994046,3.8501476017100584,0.9962,3.41,0.54,9.4,6,red
8.8,0.33647223662121295,0.4,1.1631508098056809,0.0760346862759976,2.995732273553991,3.970291913552122,0.998,3.44,0.64,9.2,5,red
7.7,0.5247285289349821,0.49,1.0296194171811583,0.10885440491208209,3.044522437723423,4.727387818712341,0.9968,3.21,0.71,9.3,5,red
7.5,0.41871033485818504,0.16,1.0647107369924282,0.08157998699242287,2.5649493574615367,3.58351893845611,0.9968,3.38,0.62,9.5,7,red
7.0,0.5510074133988225,0.05,1.0986122886681098,0.07788653865707122,2.6390573296152584,4.007333185232471,0.9966,3.39,0.57,9.8,5,red
7.2,0.5452270504833231,0.05,1.7316555451583497,0.08250122151174369,1.6094379124341003,2.4849066497880004,0.9962,3.41,0.39,10.9,5,red
7.2,0.5452270504833231,0.05,1.7316555451583497,0.08250122151174369,1.6094379124341003,2.4849066497880004,0.9962,3.41,0.39,10.9,5,red
7.5,0.41871033485818504,0.11,0.9162907318741551,0.0760346862759976,2.4849066497880004,3.6888794541139363,0.9968,3.42,0.58,9.6,5,red
6.6,0.5335651107354801,0.07,0.9555114450274363,0.07325046173959267,1.9459101490553132,2.772588722239781,0.9962,3.44,0.58,10.7,5,red
9.3,0.2776317365982795,0.57,1.0986122886681098,0.07138999608667294,3.332204510175204,4.189654742026425,0.9969,3.28,0.79,10.7,5,red
8.0,0.5335651107354801,0.05,1.0647107369924282,0.07138999608667294,2.1972245773362196,2.995732273553991,0.9962,3.34,0.95,10.5,6,red
7.7,0.48858001481867097,0.08,1.0647107369924282,0.07325046173959267,2.772588722239781,3.332204510175204,0.9967,3.32,0.54,9.5,6,red
7.7,0.5128236264286637,0.23,1.1314021114911006,0.08434114843375087,2.8903717578961645,4.574710978503383,0.9962,3.32,0.48,9.5,5,red
7.7,0.5247285289349821,0.22,1.0647107369924282,0.08065790301745447,2.9444389791664403,4.553876891600541,0.9961,3.31,0.48,9.5,5,red
8.3,0.5158131652770298,0.26,1.1314021114911006,0.08065790301745447,2.4849066497880004,3.784189633918261,0.9976,3.31,0.53,9.2,4,red
9.7,0.2776317365982795,0.54,1.252762968495368,0.08984070399978947,3.367295829986474,4.430816798843313,0.9984,3.28,0.82,9.6,5,red
8.8,0.3435897043900769,0.64,1.1631508098056809,0.08892620919440151,2.302585092994046,3.7612001156935624,0.9986,3.54,0.66,10.5,5,red
8.8,0.3435897043900769,0.64,1.1631508098056809,0.08892620919440151,2.302585092994046,3.7612001156935624,0.9986,3.54,0.66,10.5,5,red
6.8,0.5794184152316024,0.0,1.2237754316221157,0.09893994785490356,2.70805020110221,3.4339872044851463,0.9966,3.52,0.55,10.7,6,red
6.7,0.5596157879354227,0.12,1.0986122886681098,0.08250122151174369,2.5649493574615367,4.394449154672439,0.9958,3.38,0.52,10.1,5,red
8.3,0.4855078157817008,0.2,0.9162907318741551,0.07696104113612832,3.332204510175204,4.787491742782046,0.9972,3.16,1.12,9.1,4,red
6.2,0.37156355643248307,0.2,0.9555114450274363,0.06672363204290818,1.3862943611198906,2.772588722239781,0.9958,3.41,0.56,9.2,5,red
7.8,0.3576744442718159,0.7,1.0647107369924282,0.38117241553911985,3.1354942159291497,4.219507705176107,0.9974,3.13,1.28,9.4,5,red
7.4,0.4054651081081644,0.47,1.0986122886681098,0.08250122151174369,3.091042453358316,4.30406509320417,0.997,3.36,0.57,9.1,5,red
7.3,0.5128236264286637,0.26,1.0296194171811583,0.33718626735486995,2.833213344056216,3.9512437185814275,0.9969,3.16,1.14,9.4,5,red
6.3,0.26236426446749106,0.48,1.0296194171811583,0.06672363204290818,2.9444389791664403,4.127134385045092,0.9959,3.44,0.78,10.3,6,red
6.9,0.4382549309311553,0.15,1.1631508098056809,0.07325046173959267,2.995732273553991,3.713572066704308,0.9961,3.41,0.59,10.1,5,red
8.6,0.3987761199573678,0.28,1.0647107369924282,0.10436001532424277,3.044522437723423,4.919980925828125,0.9972,2.93,1.95,9.9,6,red
7.7,0.3987761199573678,0.26,1.0647107369924282,0.06015392281974709,2.302585092994046,3.4657359027997265,0.9966,3.39,0.64,9.6,5,red
9.3,0.3293037471426004,0.44,1.1314021114911006,0.10165365372649983,3.5553480614894135,4.836281906951478,0.9978,3.14,1.22,9.5,5,red
7.0,0.4824261492442927,0.08,1.0296194171811583,0.07325046173959267,2.1972245773362196,3.2188758248682006,0.9978,3.48,0.53,9.0,5,red
7.9,0.41871033485818504,0.26,1.0647107369924282,0.0760346862759976,3.7612001156935624,4.948759890378168,0.9964,3.23,0.54,9.5,5,red
