fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
0.21961388,2.4301398,0.009406206,-1.0519304,0.67849404,-1.4717698,-1.0700688,1.7217389,1.6789011,-0.07573051,-0.74776614,-0.93722963,red
-1.1689172,0.018593667,0.078226164,-0.8666191,0.066340476,0.6726465,0.84153783,-0.76412684,0.5361798,-1.2183508,-0.3285211,0.20799905,white
-0.2432298,-0.24021244,0.703834,1.7492931,-0.077306286,3.628445,1.3219047,1.2468029,-0.7992597,5.1342406,-0.6639171,0.20799905,white
-0.39751104,-0.33710858,-0.26587364,-0.53947586,-0.637366,-2.0159497,0.29061514,-1.5864912,0.88010764,-0.74779874,2.020423,0.20799905,white
-0.39751104,-0.82720524,-0.40351355,0.5285144,-0.10816867,1.0728873,0.6170743,-0.411921,-0.6126634,-0.12561461,-0.07697409,2.4984565,white
-0.93749535,-0.13506943,0.21669112,-1.2883801,-0.51207113,-0.5283844,-0.55811626,-1.7909424,0.13372214,-0.47897142,2.0390952,1.5961914,white
0.3738951,-0.13522105,0.0658987,0.9646401,0.84870696,1.0242093,0.70869255,0.54067284,-0.6126634,-1.5084432,-0.49621913,0.20799905,white
-0.8603547,0.19119997,-0.60997343,0.74671406,0.47326043,0.34084246,0.884338,-0.26671097,-0.9236573,-0.81500554,-0.83161515,1.0916841,white
1.4981905,-1.3570136,2.369603,-1.2201787,-0.54334956,-0.49249166,0.44500884,-0.4324358,-0.6126634,-0.47897142,-0.3285211,0.20799905,white
-0.7060735,-1.2366208,1.1793455,-1.0926143,-0.76314604,0.3028524,-0.1259722,-1.3677392,0.64413464,0.05868313,1.0292784,1.3532277,white
0.5941728,-0.13522105,0.43083015,0.17313568,-0.10816867,-1.8122205,-1.7206168,0.53207374,-0.67486215,0.46192405,1.096912,0.20799905,white
0.06533265,0.5058342,-0.19705367,-0.71739894,0.045850866,0.7976471,1.117978,-0.26764992,-0.6126634,0.05868313,-0.49621913,-0.50705355,white
-0.061382342,-1.0459888,-1.0137813,1.5065434,-0.57465816,-0.6251905,-0.45959535,0.1678759,0.32031852,-0.74779874,0.343254,0.20799905,white
-1.6218657,-0.33710858,-0.33038706,-0.8151729,-0.5366962,-1.66026,0.036639787,-1.1700115,0.4028701,-1.1510396,0.017100817,-0.93722963,white
0.14247327,-0.97244895,0.42232597,0.4053864,-0.38725767,0.48255426,0.37679455,-0.7074979,-1.5028018,-0.74779874,0.17457294,0.20799905,white
-0.55179226,-0.33710858,-0.26587364,-1.4351091,-1.0438788,0.52435696,-0.59055567,-2.3175716,-1.2968501,-0.6969242,2.268041,0.20799905,white
-0.32037044,5.5120535,-2.1928325,-0.7030617,1.5433888,-1.3263547,-1.6071985,-0.5988154,0.32031852,-0.6133851,0.7160293,0.20799905,red
-0.39751104,-0.47434643,-0.60997343,-0.8666191,0.55437505,0.52435696,0.6162346,-0.5591848,-0.17727183,-1.0838329,-0.5800681,-0.93722963,white
-0.6289329,-0.33710858,-0.46598637,0.7519385,0.0151053285,1.205331,0.6762395,0.043033928,1.377698,-0.82387334,0.71018153,1.3532277,white
-0.16608919,0.1268866,-0.26587364,1.0102,-0.78254783,0.2544133,0.62981725,-0.88041526,-0.9301281,-1.1590629,1.5507432,1.3532277,white
-0.8529096,-0.82720524,1.8960135,-1.2883801,0.060820136,-0.013943521,0.8143221,-1.1242114,-0.5504646,0.05868313,0.25842196,0.20799905,white
-0.7832141,-0.82720524,0.6976058,-1.1397947,-0.48082277,0.43957388,0.41051966,-1.0994488,-1.3073151,-0.6133851,0.5235847,0.20799905,white
-1.0146359,3.2891648,-2.1928325,-0.97526634,-0.03827841,-0.8531506,-1.6016549,1.2855791,2.24559,3.5612772,0.509969,-2.0824583,red
