fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
-0.6289329,-0.6843427,-0.40351355,-0.617539,-0.46865663,1.3719927,0.49571154,-1.2652192,0.19592093,-0.6133851,0.59381795,1.3532277,white
-0.2432298,-0.55121875,0.009406206,-0.12615752,0.6848746,0.60467565,0.689037,-0.83246446,-0.42538926,-0.5461783,0.34227094,0.20799905,white
-0.32037044,-0.05002278,0.14704613,1.6817101,-0.4184161,-0.2009982,0.2766572,0.6319283,0.009324553,-0.6863795,-0.16082309,0.20799905,white
-0.47465166,-0.8995245,-1.9697062,0.81436163,-0.35024914,0.98375374,0.63078547,-0.10784996,-0.4386073,0.2603036,0.28775728,-0.93722963,white
0.06533265,-0.5363251,0.21586609,0.58486956,-0.48082277,-1.3263547,0.010418511,-0.6925299,-0.86145854,-0.88221234,0.761516,0.20799905,white
-0.32037044,-0.20199855,-0.33469358,0.77263445,0.33181104,-1.0714799,0.21812315,0.031146483,-1.1354798,-0.74779874,-0.83161515,-0.93722963,white
-0.16608919,-0.40545735,1.1793455,1.0822105,-0.71257764,0.97350544,0.7033535,0.74699277,-0.426067,0.05868313,-1.0831622,-0.93722963,white
0.7039593,-0.8995245,0.5599659,-1.1550095,-0.262922,0.15784737,0.12692803,-0.632603,-0.73706096,-1.016626,-0.07484412,-0.93722963,white
-0.39751104,2.8598297,-0.19705367,-0.8151729,-0.54334956,-0.20283005,0.5644996,-0.13795419,0.7001438,0.05868313,0.5550506,-0.93722963,white
-0.7060735,2.4829884,-2.0460744,-0.8151729,0.28441957,-2.0159497,-2.3230958,-0.4037594,1.2533004,-0.012000968,0.42611995,-0.93722963,red
-0.2432298,-1.1201546,1.0968804,-0.765471,-0.73165536,-0.13606489,-0.76289606,-0.2968836,-0.67486215,1.3293979,-0.21342547,-0.93722963,white
0.29675448,-0.20199855,0.28468606,-0.8666191,0.31751877,-1.5416459,-2.6507468,0.17183001,0.69351125,1.3399792,0.515922,1.3532277,red
0.06533265,1.614056,-1.2554746,-0.53947586,2.6340952,-2.2511377,-2.573918,0.83057004,1.116567,1.3350008,0.09072393,1.3532277,red
1.8127977,-0.20199855,0.5599659,1.4061097,-0.41560757,0.7177424,0.43856278,0.91040415,-0.34777033,-1.0870274,0.53913814,1.3532277,white
0.8716359,-0.20199855,-0.47233352,0.72015357,-0.51851356,0.43957388,0.7240691,0.23451304,-1.0480549,-0.14293733,0.25842196,-0.93722963,white
-1.6247137,-0.47434643,0.5599659,-1.2883801,-0.5047951,-0.75468403,-0.2626435,-0.6917228,1.0045053,-0.74779874,-0.5800681,-0.93722963,white
-0.011807964,-1.387755,0.6976058,1.9398905,-0.32503033,1.3834661,0.7814889,1.4091598,-1.0697783,-0.008523691,-0.8442254,0.20799905,white
1.6362851,-0.7554812,8.658454,0.60490596,1.2770132,-2.0159497,-2.103419,0.4545755,-1.0480549,-0.07573051,-0.41237012,-0.93722963,white
-0.39751104,-0.47434643,1.1105256,1.6248149,-0.48082277,1.7169981,1.046319,1.3634641,1.0019504,1.2406512,-0.91546416,0.20799905,white
-0.8603547,-1.3465159,0.009406206,-1.4351091,-0.48857933,0.7177424,0.6328123,-0.5396975,1.4264718,-0.6805919,-0.83161515,-0.93722963,white
-1.3730243,-0.18024181,0.54110676,-0.82349086,-0.38725767,-0.8531506,0.27562663,-1.8266,0.4447161,0.12588996,1.26461,0.20799905,white
-0.7832141,-0.0031818151,1.1793455,-0.8666191,-0.8752456,0.98375374,0.9444478,-0.025455805,0.71511793,1.0613146,-0.83161515,-0.93722963,white
-1.0071937,-1.3465159,-0.19705367,-0.62573993,-0.54334956,0.7177424,0.65166265,-0.42848945,1.2533004,-0.74779874,-0.2446721,0.20799905,white
-0.6289329,0.31842008,-0.49283278,1.4633981,0.56412107,0.52435696,1.1988441,0.95557475,-0.17727183,-0.30892283,-0.9993132,-0.93722963,white
0.21082546,0.06209506,-0.52737576,-0.6602435,-0.262922,-0.07722309,0.39704603,-0.10112676,0.703248,0.46192405,0.67766696,0.20799905,white
-0.20906983,1.207764,-0.26587364,-0.6172889,0.05503514,-0.35590732,0.5575038,0.23355366,-0.426067,0.39471725,-0.2446721,-0.93722963,white
-0.39751104,-0.5308657,0.009406206,-1.6100799,-0.077306286,-0.2009982,0.589348,-0.43739402,0.88010764,-0.5461783,-0.83161515,-2.7184637,white
0.29675448,1.9799049,-2.1928325,-0.5819735,1.532432,0.7060271,-0.4590553,0.56283206,0.5044992,0.32751042,0.09072393,0.20799905,red
0.06533265,-1.2693928,0.28468606,-0.765471,0.58783364,0.29293123,0.02042702,-0.44808704,-1.3016608,-0.07573051,-0.5800681,0.20799905,white
2.2309966,1.1506726,-0.059413753,-0.53947586,1.0777105,-1.0714799,-1.7191782,0.5712683,-0.23947062,0.2603036,0.49690983,-0.93722963,red
-0.47465166,-0.40545735,0.14704613,1.1023709,-0.23191229,0.0991232,0.20836842,0.13962686,0.6313125,0.66354454,0.67766696,3.6275055,white
-0.55179226,2.062194,-0.40351355,0.57537204,-0.15502451,-0.11390337,0.20055315,0.63432133,0.88010764,-0.45761758,-0.83161515,-0.93722963,white
0.60531694,2.1969767,-0.3074086,-0.62573993,0.5725076,-1.7987674,-0.85763687,0.7814326,1.0045053,-0.008523691,0.42611995,-0.93722963,red
-1.3409629,-0.96815,-1.7723202,-1.2883801,-0.66876537,-0.013943521,0.8058712,-1.846691,-0.86145854,-0.6805919,1.7677041,0.20799905,white
