fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
3.2088342,-0.33710858,2.894043,0.1371447,-0.16998155,-2.0159497,-1.3659531,1.5606419,-0.48826578,1.2096208,1.6522138,1.3532277,red
-0.7060735,-1.5363455,0.009406206,-1.2201787,-0.7975239,-1.1936014,-0.83280987,-1.3100095,0.009324553,-0.27735096,0.59381795,1.3532277,white
-1.0146359,0.6285746,-1.058948,0.8562018,-0.20093216,-1.3263547,0.47829574,0.26569393,0.5069149,-0.6133851,-1.0831622,-0.93722963,white
-0.8603547,-0.6843427,0.28468606,1.1111085,-0.7946673,0.82300496,0.5862949,0.2345772,1.6576011,-0.27735096,0.070116974,1.3532277,white
-0.32037044,1.4454263,-1.5508608,-0.6708532,0.714993,-1.0714799,-2.2819047,0.26464045,1.7226344,1.0667855,0.42611995,0.20799905,red
-0.8603547,-0.97244895,-0.5658355,-0.97029245,-0.8578018,-1.0714799,-0.1396905,-1.8428869,-0.426067,0.5532004,2.503256,1.3532277,white
-0.16608919,-0.26929173,-0.33469358,-1.0926143,-0.51207113,1.3462218,1.2933649,-0.29567012,-1.0480549,-0.008523691,-1.0831622,0.20799905,white
-0.8603547,-0.54378444,2.8998446,-0.97526634,9.066503,-2.0159497,-1.2474561,-0.46585718,-0.11507303,-0.6545704,0.42611995,0.20799905,white
-0.2432298,-0.61378014,-0.5925892,0.7418315,-0.48833755,-0.07378267,0.12155248,0.10107193,-0.6126634,-0.3445578,-0.79116005,0.20799905,white
1.5429686,0.5762942,1.1793455,-1.0327665,0.59536284,-2.0159497,-2.7224011,0.5680837,0.3825173,0.62552667,0.42611995,1.3532277,red
0.68245757,-0.13522105,0.42232597,-0.23192014,0.045850866,-2.5293062,-2.3440278,0.12707153,0.55644274,1.2288018,2.2414923,1.3532277,red
0.7952846,-1.3465159,-0.12823372,-1.0961123,-0.16998155,0.31907547,0.8307481,0.13372086,0.88010764,-0.07573051,-0.6639171,0.20799905,white
-1.1689172,-1.1949569,-0.5411535,0.9439149,-0.24497822,0.48255426,0.052850924,0.22987005,-0.73706096,-0.88221234,-0.91546416,0.20799905,white
0.14247327,-0.010579821,0.07885278,1.687782,-0.51207113,0.8893503,0.9131311,1.3732895,-0.9858561,1.201199,-1.0831622,0.20799905,white
0.14247327,-0.7939548,0.97288567,-0.99973327,-0.3561291,0.3498008,0.9156298,-0.34676537,-0.67486215,0.60537577,-0.74776614,-0.93722963,white
-0.22442615,0.532687,2.827895,1.1431407,-0.29396132,0.60467565,0.9712895,0.6075433,-0.67486215,0.32751042,-0.91546416,0.20799905,white
2.437791,1.4978417,-0.42642653,0.563548,0.8051809,0.48255426,0.20439029,1.602206,0.009324553,0.2603036,-0.74776614,1.3532277,red
-0.47465166,0.5058342,-0.58886606,-1.2883801,-0.077306286,-1.992747,0.12945427,-0.63253975,-0.11507303,-1.2182465,-0.66025347,0.20799905,white
-0.6289329,-0.40545735,-0.19705367,0.3531012,-0.60599697,-1.0432914,-0.29993317,-1.2087802,-0.86145854,0.05753213,1.040646,0.20799905,white
-0.55179226,0.4513123,-0.66283166,0.17401628,-0.077306286,0.2544133,0.34609306,0.04581197,0.081563994,-1.016626,-1.0831622,-0.93722963,white
-0.32037044,-0.33710858,0.49114594,-0.6389379,-0.5810703,-1.3263547,-1.2726016,-1.4502853,-0.47839996,-1.5796543,1.180761,0.20799905,white
0.7090308,-0.57372874,0.49114594,-1.0926143,-0.637366,0.43957388,-0.50034636,-0.56742257,-1.3478695,-0.5097422,-0.3192529,-0.93722963,white
-0.55179226,-0.82720524,0.7208735,-1.1126788,-0.51207113,0.3028524,0.3635076,-0.85352796,0.88010764,-0.5461783,0.25842196,-0.93722963,white
0.06533265,-0.13522105,-1.0052083,-0.4189093,-0.38725767,0.6378756,0.20055315,-1.3068036,-0.30166942,-0.74779874,1.1468937,0.20799905,white
1.2343072,0.6893025,-0.26587364,-0.97526634,0.5897365,-1.1936014,-0.3028896,1.0667504,0.19592093,0.9995786,-0.83161515,0.20799905,red
3.508522,2.7252605,0.49114594,0.09483275,1.0386992,0.061576262,0.0694257,2.042366,-0.31352413,1.447882,-0.83161515,-0.93722963,red
0.8367388,2.7530494,-1.504633,-1.2883801,1.0248454,-2.0159497,-2.4877098,0.3670894,-0.5518987,-0.74779874,-0.83161515,-0.93722963,red
-1.4668803,0.31842008,-1.5634233,-0.39059836,-0.8262192,-0.07378267,0.14052509,-0.40703928,-0.11507303,-0.47897142,-0.91546416,-0.93722963,white
-1.340553,-0.20199855,-2.0377216,-1.2012142,-0.38725767,-0.07378267,0.27268526,-0.76594234,0.88010764,-0.41176462,-0.16082309,-0.93722963,white
-1.1689172,-0.8995245,0.6976058,-1.412296,-0.51207113,0.82300496,0.47571388,-0.82583964,0.19592093,-0.14293733,-1.1670111,0.20799905,white
0.14247327,-0.24187051,0.4417564,-1.0327665,-0.6724278,0.48255426,0.63923544,-0.84553856,-1.2446065,-1.0838329,0.42611995,0.20799905,white
