fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
3.2831686,1.2418988,1.7372863,-0.2674471,1.6681224,-0.811935,-1.3102733,1.7021999,0.5069149,1.2710159,0.09072393,0.20799905,red
-1.0917766,-0.20199855,0.97288567,-0.13216522,-0.60599697,0.16037136,-0.12963319,-1.2670647,-0.5504646,2.4985971,1.348459,1.3532277,white
-0.39751104,-0.82720524,7.831294,1.7521273,-0.3561291,-0.13606489,0.07920795,1.1683954,-0.48826578,-0.41176462,-0.9993132,0.20799905,white
-0.39751104,-0.6843427,-0.33230355,0.34105095,-0.16998155,-0.6621889,-0.09140824,-0.14063993,1.0206674,-0.74779874,-0.6424649,0.20799905,white
0.14247327,-0.82720524,0.578558,-1.0926143,0.38209504,-1.1936014,-2.3336537,0.06714888,1.4976937,1.0807369,0.98498815,1.3532277,red
-0.47465166,-0.40545735,0.28468606,0.84207046,-0.262922,1.3499898,0.87857735,-0.6194401,-0.68023103,0.32751042,0.845365,0.20799905,white
-0.16608919,1.937717,-2.1928325,-0.71739894,0.6547283,0.043636993,-1.6260793,0.36956924,1.2531856,0.2603036,-0.3285211,-0.93722963,red
-1.5694567,-0.61378014,-1.2511185,-1.0926143,-0.4184161,-0.2009982,0.04772445,-0.3877753,2.4923563,-0.6125212,-0.49621913,-0.93722963,white
0.7595982,0.09222239,0.5599659,-0.8666191,1.012383,-0.57498217,-0.7568456,0.634785,1.0045053,0.66354454,-0.74776614,-2.0824583,red
-1.0917766,-0.26929173,-0.95407325,-0.71739894,-0.23191229,1.6618783,0.8743586,-0.5670621,0.69351125,-0.5461783,-0.41237012,0.20799905,white
-0.32037044,0.52363706,-0.6787934,0.7310568,0.059435163,0.2043858,0.2258726,0.3117533,-1.0480549,-0.6133851,-1.111997,-0.93722963,white
0.14247327,-0.26929173,-0.47233352,1.289251,-0.38725767,1.1291687,1.0380057,0.685307,0.071523346,-0.47897142,-0.74776614,-0.93722963,white
0.7044287,1.8384272,-1.7935326,-0.6708532,0.89410746,-1.0714799,-1.8973095,0.4726077,0.5069149,-0.21014415,0.17457294,-0.93722963,red
-1.0917766,0.1268866,-0.19705367,0.035903674,-0.837455,-2.5293062,-1.5491265,-1.9528152,-0.9718417,-1.7619605,2.1514914,-2.1519358,white
-0.6289329,-0.0031818151,-0.059413753,0.6227355,-0.60599697,-1.0714799,-0.17304498,-0.8677874,0.3466572,0.12588996,1.516157,0.20799905,white
-0.08894858,-0.7554812,-0.12823372,0.045823988,-1.034322,-0.5566328,-0.42460898,-1.4302588,-1.2772968,-0.21014415,1.683855,0.20799905,white
1.4635568,-1.1949569,0.28468606,0.6235001,-0.38725767,0.3028524,0.741384,0.36774626,-0.38229045,-0.27735096,-0.07697409,1.3532277,white
0.60531694,2.1117992,-1.9759637,-0.765471,0.56412107,0.0991232,-1.3009647,0.50329125,1.066704,1.8119224,0.34227094,0.20799905,red
0.21961388,-0.40545735,0.90406567,-0.765471,-0.16998155,-1.4717698,-0.21055266,-0.5432389,0.40718612,-0.0039874637,0.59381795,-0.93722963,white
-0.8603547,0.124167636,-0.60997343,1.4766438,-0.077306286,1.1011734,0.9611097,1.0046227,-0.5504646,-0.3445578,-1.4185582,-0.93722963,white
-1.0736083,-0.47434643,0.078226164,0.32885292,-0.637366,0.6809767,0.17527068,-1.3613427,0.009324553,0.9433803,1.5129341,1.3532277,white
-0.39751104,0.06209506,-2.1928325,-0.53947586,-0.3561291,0.17128511,-0.03839784,-0.13899536,0.5069149,-0.36777982,-0.5800681,0.20799905,white
-0.011807964,1.0070719,-0.25649425,1.5280942,-0.8578018,0.043636993,0.09181913,-0.580652,-1.607844,-1.5880035,2.245059,1.3532277,white
-0.7832141,0.5058342,-1.1661766,0.32334214,-1.0242616,0.6809767,0.527505,-0.9751075,0.7602856,-0.81500554,0.761516,0.20799905,white
0.60531694,-0.54378444,-1.0004585,-0.45536888,-1.081565,-0.07378267,0.06676296,-0.9674004,-1.4735533,-1.0894482,0.7561909,0.20799905,white
-0.011807964,1.4149469,0.14704613,-0.5819735,0.22971547,-2.2511377,-2.5673943,0.32255128,1.3624214,0.79795814,0.59381795,0.20799905,red
