fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
-0.93749535,-0.40545735,0.71945184,-0.39570096,-0.44960445,-0.41423336,1.2054292,-0.5675747,0.009324553,0.73075134,-0.16082309,-0.93722963,white
0.29675448,0.36442554,0.86433136,-0.7426935,0.9199008,-1.3263547,-2.1957188,0.36282653,0.9423064,1.0667855,0.59381795,1.3532277,red
0.535037,-0.8995245,-0.10292509,0.7830521,-0.41715175,1.1011734,0.6184764,-0.114802964,-0.69532967,-0.74779874,0.761516,3.3863409,white
-0.32037044,-0.17968759,1.1793455,0.78631604,-0.25364608,0.2043858,0.8877054,0.5258841,-0.67486215,-0.4518193,-1.3347092,-0.93722963,white
0.29675448,0.6893025,-0.5411535,0.5348764,-0.8262192,0.15266211,0.06676296,-0.4013783,-0.68370134,0.051954616,0.09072393,0.20799905,white
0.21961388,1.2743828,-0.30843326,0.24390054,1.0216256,1.1989069,0.26976737,1.3243252,-0.3638682,2.6378005,-0.5800681,-0.93722963,red
-0.011807964,-0.8995245,-0.26587364,1.5189229,-0.29508445,1.1011734,0.4394915,0.89394224,-2.062446,-1.2182465,-1.1670111,1.3532277,white
-0.19898593,-0.7554812,-0.12823372,-0.97526634,-0.44960445,0.70287204,0.20538533,-1.3781106,-1.1724524,-0.07573051,0.6788388,0.20799905,white
-0.7060735,-0.8995245,-0.26587364,-0.49817547,-0.031838693,-0.2009982,0.56437874,-0.14090587,0.5069149,-0.23256564,-0.91546416,-0.93722963,white
-0.7060735,-1.1201546,0.078226164,1.4058845,-0.7882866,1.1525196,1.1188881,0.7014863,-0.6126634,-1.2182465,-1.0831622,-0.93722963,white
-0.55179226,0.19119997,0.009406206,1.2443709,-0.262922,1.4111534,1.121414,0.65739685,-0.7992597,-0.47897142,-1.5024072,0.20799905,white
2.9188426,0.19551784,1.4726042,-0.03857364,1.3251235,-2.0159497,-2.7928603,1.2240394,-1.7910997,1.5372332,-0.38295445,0.20799905,red
0.60531694,-0.47434643,0.9357665,-0.8666191,0.3823307,-0.95841324,-2.4584029,0.79126716,0.4447161,1.201199,-0.7411444,0.20799905,red
0.06533265,-0.97244895,1.1793455,-0.62573993,-0.66876537,-1.8122205,0.29999542,-0.9369254,-0.73706096,0.8552059,0.86522704,0.20799905,white
-0.32037044,-0.82720524,1.1105256,0.03358134,0.70955014,0.15266211,0.10913319,-0.00869306,-0.86145854,-0.47897142,-0.9135025,0.20799905,white
0.06533265,-0.54378444,-0.21015964,-1.0926143,-0.51207113,1.0726548,0.95756483,-0.16667674,-0.23947062,0.9323718,-0.6639171,0.20799905,white
1.2224419,-0.6843427,-1.2390611,-1.3599098,-0.29396132,0.60467565,0.018928725,-0.53283536,-1.5049187,-1.3112881,-0.5800681,0.20799905,white
-0.39751104,-0.47434643,0.9551489,0.4711845,-0.20093216,0.7177424,1.1905373,0.374946,1.3900356,-0.3445578,-0.3285211,0.20799905,white
4.9548965,0.19119997,1.4818051,-1.0327665,-0.077306286,-2.7255359,-2.922449,1.2315388,-1.0359309,0.5963377,-0.9590007,1.3532277,red
-0.7832141,-0.33710858,0.078226164,2.542081,-0.51207113,1.1449974,0.7684523,1.3730873,-0.16767538,0.5963377,-0.2446721,0.20799905,white
-0.8603547,-0.9392402,0.49114594,0.88148016,-1.2811115,0.15323569,0.23836625,-0.24256372,1.6113229,-0.6805919,0.59381795,0.20799905,white
-0.6289329,-0.0031818151,-0.12823372,-1.4351091,-0.60599697,-0.20517121,-0.25561073,-1.0959132,1.0045053,-0.14293733,0.0068749217,0.20799905,white
0.06533265,-0.7554812,-0.12823372,1.8057289,-0.28538123,1.0139667,0.97971207,1.6773014,-0.5504646,-0.47897142,-1.2170244,-0.93722963,white
-0.2432298,2.8300962,-1.7241539,-0.765471,0.20447333,-1.0714799,-0.52119124,0.9015902,1.9225203,0.32751042,-0.9899375,-0.93722963,red
-1.7304939,0.71864533,-1.2210598,-1.3599098,-0.05309524,-0.6621889,-0.35122737,-0.8993449,0.69351125,-0.6133851,-1.3358653,-0.93722963,white
-0.011807964,-0.6843427,-0.5411535,1.3997926,-0.5824464,0.35271728,0.42447633,0.86928844,-1.5787212,-0.6805919,-0.91546416,1.3532277,white
4.1254973,1.148335,2.6290913,-0.6708532,0.69785154,-2.0159497,-2.3102698,1.7229073,-0.9858561,1.2821237,-0.3285211,0.20799905,red
0.06533265,0.7350755,-0.40351355,0.5712442,-0.637366,0.88961494,0.58060914,-1.3871762,0.13372214,-1.2182465,2.0953298,-0.93722963,white
0.7595982,0.06209506,0.058672216,0.595055,-0.641718,0.52435696,-0.1550381,-0.29903322,-0.31224757,-1.3280208,0.6024384,0.20799905,white
-0.32037044,-0.13522105,-0.19705367,0.5851722,-0.16998155,0.2394069,0.4027039,-0.6056062,-0.73706096,-0.07573051,0.509969,0.20799905,white
