run_id,epochs,batch_size,pearson_mae,spearman_mae,RR_median,RR_p05,RR_p01,FR_median,FR_p05,pct_FR_below_RR1pct,near_dup_rate,eps_used,train_time_sec,gen_time_sec
1,10000,4096,0.0207,0.0173,0.9775,0.2314,0.0771,1.1203,0.7049,0,0,0.0098,82.61,0.62
2,10000,2048,0.0186,0.0198,0.9775,0.2314,0.0771,1.0893,0.6722,0,0,0.0098,85.25,0.62
3,10000,512,0.0414,0.0486,0.9775,0.2314,0.0771,1.178,0.7384,0,0,0.0098,43.66,0.62
4,10000,1024,0.025,0.0237,0.9775,0.2314,0.0771,1.0492,0.6408,0,0,0.0098,103.47,0.62
5,20000,4096,0.0216,0.022,0.9775,0.2314,0.0771,1.1178,0.682,0,0,0.0098,111.68,0.62
6,40000,4096,0.0154,0.0163,0.9775,0.2314,0.0771,1.1004,0.6986,0,0,0.0098,109.52,0.62
7,80000,4096,0.0211,0.0205,0.9775,0.2314,0.0771,1.1159,0.6926,0,0,0.0098,98.33,0.62
8,50000,4096,0.0178,0.0178,0.9775,0.2314,0.0771,1.0987,0.6909,0,0,0.0098,116.66,0.71
9,30000,4096,0.0165,0.0172,0.9775,0.2314,0.0771,1.0932,0.6919,0,0,0.0098,106.12,0.62
10,10000,4096,0.0224,0.024,0.9775,0.2314,0.0771,1.1193,0.708,0,0,0.0098,114.25,0.62
11,10000,4096,0.0247,0.0229,0.9775,0.2314,0.0771,1.2076,0.7569,0,0,0.0098,93.31,0.62
12,5000,4096,0.0229,0.0185,0.9775,0.2314,0.0771,1.1275,0.7061,0,0,0.0098,94.16,0.62
12,2500,4096,0.0154,0.016,0.9775,0.2314,0.0771,1.1073,0.6923,0,0,0.0098,109.57,0.62
14,1200,4096,0.0219,0.0218,0.9775,0.2314,0.0771,1.1117,0.6975,0,0,0.0098,71.2,0.62
15,600,4096,0.0261,0.0207,0.9775,0.2314,0.0771,1.1511,0.7034,0,0,0.0098,38.45,0.62
16,2000,4096,0.0224,0.0224,0.9775,0.2314,0.0771,1.1078,0.6924,0,0,0.0098,92.54,0.62
17,3000,4096,0.0214,0.0225,0.9775,0.2314,0.0771,1.11,0.691,0,0,0.0098,88.63,0.62
18,2500,1024,0.0156,0.0157,0.9775,0.2314,0.0771,1.0519,0.6297,0,0,0.0098,102.33,0.62
19,10000,256,0.0192,0.0179,0.9775,0.2314,0.0771,1.0026,0.5712,0,0,0.0098,218.21,0.62
20,10000,128,0.0308,0.0323,0.9775,0.2314,0.0771,1.2258,0.7766,0,0,0.0098,110.3,0.62
21,2500,4096,0.0161,0.014,0.9775,0.2314,0.0771,1.1112,0.6978,0,0,0.0098,105.44,0.62
22,2500,4096,0.0201,0.0205,0.9775,0.2314,0.0771,1.1198,0.6965,0,0,0.0098,124.13,0.62
23,2500,4096,0.0202,0.0161,0.9775,0.2314,0.0771,1.1185,0.6975,0,0,0.0098,110.3,0.62
24,600,500,0.0265,0.0241,0.9775,0.2314,0.0771,1.0636,0.6425,0,0,0.0098,48.59,0.62
