run_id,epochs,batch_size,learning_rate,pearson_mae,spearman_mae,RR_median,RR_p05,RR_p01,FR_median,FR_p05,pct_FR_below_RR1pct,near_dup_rate,eps,train_time,gen_time
exp01,700,500,5.00E-05,0.0756,0.0895,0.9775,0.2314,0.0771,1.6465,1.0308,0,0,0.009775,52.52,0.21
exp02,1400,500,5.00E-05,0.0461,0.0439,0.9775,0.2314,0.0771,1.4045,0.8936,0,0,0.009775,103.86,0.21
exp03,2800,500,5.00E-05,0.033,0.0344,0.9775,0.2314,0.0771,1.4057,0.8912,0,0,0.009775,204.55,0.33
exp03,2800,500,5.00E-05,0.033,0.0344,0.9775,0.2314,0.0771,1.4057,0.8912,0,0,0.009775,205.07,0.2
exp04,2000,500,5.00E-05,0.0338,0.0358,0.9775,0.2314,0.0771,1.4182,0.9003,0,0,0.009775,145.99,0.19
exp05,700,256,5.00E-05,0.0641,0.0755,0.9775,0.2314,0.0771,1.479,0.9508,0,0,0.009775,92.06,0.19
exp06,700,128,5.00E-05,0.06,0.0636,0.9775,0.2314,0.0771,1.3562,0.8581,0,0,0.009775,177.44,0.19
exp07,700,64,5.00E-05,0.0286,0.037,0.9775,0.2314,0.0771,1.4211,0.9066,0,0,0.009775,344.83,0.34
exp08,700,500,2.00E-05,0.1109,0.1247,0.9775,0.2314,0.0771,1.9347,1.1535,0,0,0.009775,50.9,0.28
exp09,700,500,1.00E-05,0.1319,0.1366,0.9775,0.2314,0.0771,1.7308,1.1168,0,0,0.009775,51.55,0.2
exp10,700,500,0.0001,0.0535,0.0568,0.9775,0.2314,0.0771,1.38,0.885,0,0,0.009775,51.35,0.19
exp11,700,500,0.001,0.1165,0.1323,0.9775,0.2314,0.0771,1.508,0.9218,0,0,0.009775,52.21,0.2
exp12,700,256,0.0001,0.0399,0.0489,0.9775,0.2314,0.0771,1.4187,0.906,0,0,0.009775,92.92,0.19
exp13,700,128,0.0001,0.0314,0.0371,0.9775,0.2314,0.0771,1.4444,0.8994,0,0,0.009775,177.01,0.19
exp14,700,64,0.0001,0.0353,0.0446,0.9775,0.2314,0.0771,1.4259,0.8885,0,0,0.009775,349.69,0.21
exp15,1400,128,0.0001,0.0302,0.0387,0.9775,0.2314,0.0771,1.3854,0.8891,0,0,0.009775,356.33,0.34
exp16,600,500,0.001,0.109,0.1243,0.9775,0.2314,0.0771,1.4953,0.9251,0,0,0.009775,43.78,0.21
exp17,600,500,5.00E-05,0.0711,0.089,0.9775,0.2314,0.0771,1.6817,1.0576,0,0,0.009775,44.51,0.38
exp19,700,64,5.00E-05,0.0286,0.037,0.9775,0.2314,0.0771,1.4211,0.9066,0,0,0.009775,344.78,0.35
exp20,1400,64,5.00E-05,0.0249,0.0316,0.9775,0.2314,0.0771,1.4278,0.9003,0,0,0.009775,701.33,0.19
exp21,2800,64,5.00E-05,0.0225,0.0314,0.9775,0.2314,0.0771,1.3412,0.8415,0,0,0.009775,1400.26,0.2
exp22,1400,64,5.00E-05,0.0249,0.0316,0.9775,0.2314,0.0771,1.4278,0.9003,0,0,0.009775,701.91,0.19
