run_id,distribution,pearson_mae,spearman_mae,min_real_fake_dist,mean_real_real_dist,training_time,total_runtime
1,norm,0.0131,0.0386,0.6492,inf,0.09,0.03
1,norm,0.0131,0.0386,0.6492,4.648,0.09,0.02
1,norm,0.0131,0.0386,0.6492,0.0078,0.08,0.02
2,beta,0.0524,0.0484,1.5249,0.0078,0.68,0.07
2,gamma,0.0277,0.0311,0.7381,0.0078,0.28,0.04
2,beta,0.0524,0.0484,1.5249,0.0078,0.69,0.07
3,gamma,0.0277,0.0311,0.7381,0.0078,0.38,0.04
4,gaussian_kde,0.0414,0.0166,0.4618,0.0078,4.34,93.8
5,truncnorm,0.0196,0.0394,0.6374,0.0078,0.1,0.03
6,norm,0.0131,0.0386,0.6492,0.0078,0.09,0.03
7,norm,0.0131,0.0386,0.6492,0.0078,0.09,0.02
