fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
1.7450761,0.38134038,1.5026037,-0.8151729,5.066594,-2.2511377,-2.374085,0.7930863,-0.5504646,1.9959528,-0.49621913,-0.93722963,red
-0.7284666,-1.1201546,-0.12823372,-0.33846414,-0.1357257,0.43957388,0.4763659,-1.3895948,0.009324553,-1.3288063,1.180761,1.3532277,white
-0.47465166,0.6530928,-0.8165257,-0.91993654,0.46423948,-0.7093704,-0.3478858,0.27954608,0.3825173,3.462976,0.34227094,1.3532277,red
2.6535869,1.4978417,-0.12823372,-0.5873671,0.714993,-0.619864,-0.88916576,0.9015902,0.054426998,0.66354454,0.42611995,1.3532277,red
-0.2432298,-0.40545735,2.163766,0.62848705,0.4392407,1.411566,0.9062054,0.3012785,-0.86145854,-0.6133851,-0.97073025,-0.93722963,white
0.8367388,-1.3366014,1.1793455,-1.2766632,-0.7625688,-2.3375006,-2.3421986,-1.2393582,-0.426067,-0.74779874,0.845365,0.20799905,white
0.5997893,1.6223694,-1.2981731,-0.75086176,0.624554,-0.75468403,-0.21400465,0.6396008,0.4447161,1.0667855,-0.2446721,0.20799905,red
0.3129546,-0.40545735,-0.30908525,1.7360592,-0.38241947,0.52435696,0.83736277,1.2208918,-1.0935546,-0.62312084,-1.3899364,0.20799905,white
0.29675448,-0.26929173,0.047283437,-0.765471,0.07521179,-0.013943521,0.891823,-0.037031215,0.071523346,-0.39192557,-0.91546416,-0.93722963,white
0.51580495,-0.47434643,0.42232597,-1.0001239,0.4316524,-0.89738375,-2.0489519,0.14050417,0.93555164,0.32751042,0.59381795,1.3532277,red
-0.08894858,-0.40545735,-0.40351355,-0.6708532,-1.1309863,1.5370843,0.9394835,-0.8993449,-0.037025567,0.11141831,0.25842196,0.20799905,white
-0.8603547,-0.29267797,-0.40351355,-1.2023792,1.3886168,1.476509,0.51244384,-0.56767905,-0.75472325,-0.74779874,-1.1231701,-0.93722963,white
-1.445522,-0.54378444,-0.60997343,-1.0327665,-0.56914425,-0.41423336,0.1842588,-1.4538201,-0.17727183,-0.8395413,1.1595675,0.20799905,white
1.0804633,-0.54378444,0.9383811,-1.0926143,-0.42273355,0.32437444,0.3678334,-0.29903322,-0.73706096,-0.74779874,0.0068749217,-0.93722963,white
-0.5328458,-1.1201546,-0.47233352,-0.4458287,-0.6738282,-0.6621889,-0.09165306,-1.3898121,-1.489628,-0.33758938,1.0132304,0.20799905,white
-1.6527549,-0.40545735,-0.8085307,1.2892977,-0.9464703,-0.13606489,0.10983459,-0.42701575,0.75571007,-1.2182465,0.65200466,-0.93722963,white
-0.011807964,-0.97244895,0.14704613,1.35068,-0.29396132,1.10627,1.2126212,0.38292795,-0.5504646,-1.1510396,0.0068749217,1.3532277,white
